Day fraction since midnight on	pH probe (pH)	pH probe (pH)	Source pressure (Pa)
0.610383356	7.797829151	7.967197895	0
0.610394931	7.787425041	7.956591129	0
0.610406512	7.794581413	7.963887215	0
0.610418089	7.80007267	7.969485283	0
0.610429652	7.810046196	7.979652882	0
time zero			
0.610441239	7.792025566	7.9612813	0
0.610452807	7.781909466	7.950968266	0
0.610464379	7.771160126	7.940010071	0
0.610475949	7.791942596	7.961196899	0
0.610487522	7.813885212	7.983566284	0
0.610499102	7.831985951	8.002018929	0
0.610510683	7.831624031	8.001649857	0
0.610522252	7.822619438	7.992470264	0
0.610533831	7.806724072	7.976265907	0
0.610545401	7.796772003	7.966119766	0
0.610556975	7.793546677	7.962831974	0
0.610568544	7.80008173	7.969494343	0
0.610580116	7.806446075	7.975982189	0
0.610591697	7.792835712	7.962107182	0
0.610603283	7.788992882	7.958189488	0
0.610614844	7.784486294	7.953595638	0
0.610626417	7.77034092	7.939175129	0
0.610637999	7.763226032	7.931921482	0
0.610649561	7.752732277	7.92122364	0
0.610661152	7.734454632	7.902590275	0
0.61067272	7.724288464	7.892226696	0
0.610684295	7.721185684	7.889063358	0
0.610695861	7.726387501	7.894366264	0
0.61070744	7.718704701	7.886533737	0
0.61071901	7.727445126	7.89544487	0
0.610730581	7.738842964	7.907064438	0
0.610742162	7.741174221	7.909440994	0
0.610753725	7.740020752	7.908264637	0
0.61076532	7.721748829	7.88963747	0
0.610776873	7.715791225	7.883563995	0
0.610788466	7.707573891	7.87518692	0
0.610800024	7.705980301	7.873562336	0
0.6108116	7.679776192	7.846848011	0
0.61082318	7.680949688	7.848044395	0
0.610834753	7.665046692	7.831831932	0
0.610846327	7.664056778	7.830822945	0
0.610857898	7.662094593	7.828822613	0
0.610869477	7.637611866	7.803863525	0
0.610881049	7.638974667	7.805253029	0
0.61089262	7.635272026	7.801477909	0
0.610904202	7.629340649	7.795431137	0
0.610915773	7.638275147	7.804539681	0
0.610927336	7.629613876	7.795710087	0
0.610938918	7.619828701	7.785734654	0
0.610950495	7.617243767	7.783099651	0
0.61096208	7.604759216	7.770371914	0
0.610973632	7.597682476	7.763157368	0
0.610985227	7.58078146	7.745927811	0
0.61099678	7.584575653	7.749795914	0
0.611008355	7.570045948	7.734983444	0
0.611019928	7.544064522	7.708496571	0
0.611031512	7.541165829	7.705541134	0
0.611043081	7.537261963	7.701561451	0
0.611054659	7.534721851	7.698972225	0
0.611066224	7.536546707	7.700832367	0
0.611077817	7.533652782	7.697882175	0
0.611089394	7.53363514	7.697864056	0
0.611100947	7.527827263	7.691943169	0
0.611112521	7.530430317	7.694596767	0
