Day fraction since midnight on	pH probe (pH)	pH probe (pH)	Source pressure (Pa)
0.638346303	6.234125137	6.384736061	0
0.638357881	6.236394882	6.387007237	0
0.638369445	6.237947464	6.388560295	0
0.638381018	6.239039421	6.389652729	0
0.638392596	6.240703106	6.391317368	0
0.638404166	6.241684437	6.392299175	0
0.638415752	6.243236065	6.393851757	0
0.638427314	6.244943142	6.395559311	0
0.638438895	6.245079517	6.395696163	0
0.638450469	6.232093334	6.382703304	0
0.638462039	6.225901127	6.376508236	0
0.638473618	6.222575188	6.373180389	0
0.638485192	6.22250557	6.373110771	0
0.638496766	6.223626137	6.374232292	0
0.638508337	6.223989964	6.374596119	0
0.638519916	6.226882458	6.377490044	0
0.638531481	6.228204727	6.37881279	0
0.638543058	6.229381561	6.379990578	0
0.63855464	6.230329514	6.38093853	0
0.638566204	6.231797695	6.382407665	0
0.638577797	6.232793808	6.383403778	0
0.638589365	6.232945442	6.383555889	0
0.638600934	6.235439301	6.386050701	0
0.638612514	6.238204479	6.388817787	0
time zero			
0.638624077	6.242554665	6.393169403	0
0.63863565	6.245625496	6.396242142	0
0.638647222	6.248526573	6.39914465	0
0.638658807	6.248922348	6.399540901	0
0.638670376	6.250915051	6.401534557	0
0.638681946	6.252112389	6.402732372	0
0.638693533	6.251894951	6.402514935	0
0.63870511	6.251059055	6.401678562	0
0.638716677	6.245386601	6.396003246	0
0.638728244	6.235456467	6.386067867	0
0.638739825	6.220266342	6.37087059	0
0.638751394	6.187185288	6.3377738	0
0.638762966	6.15828085	6.308855057	0
0.638774538	6.147292614	6.297861576	0
0.638786111	6.14913559	6.299705029	0
0.638797687	6.161862373	6.312438011	0
0.638809262	6.17773819	6.328321457	0
0.638820833	6.191655636	6.342246056	0
0.63883241	6.207394123	6.357992172	0
0.638843992	6.221196652	6.371801376	0
0.638855559	6.227590561	6.378198147	0
0.638867133	6.232163429	6.382773399	0
0.638878708	6.238066673	6.388679504	0
0.638890284	6.245648384	6.39626503	0
